Company,Sector,Dividend_per_share,Payment_month,Dividend_yield,Price,Year
AABS,SUGAR & ALLIED INDUSTRIES,7.5,7,0.83,906,2026
ABL,COMMERCIAL BANKS,4,6,2.22,180.01,2026
ABOT,PHARMACEUTICALS,40,5,4.51,886.36,2026
ACPL,CEMENT,0.5,5,0.21,232.72,2026
ADAMS,SUGAR & ALLIED INDUSTRIES,4,2,6.42,62.33,2026
AGIC,INSURANCE,2.5,5,6.67,37.47,2026
AGP,PHARMACEUTICALS,6,5,3.25,184.44,2026
AICL,INSURANCE,2,4,2.76,72.45,2026
AKBL,COMMERCIAL BANKS,2,6,2.08,96.25,2026
ALIFE,INSURANCE,1.5,5,4.74,31.66,2026
ALNRS,SUGAR & ALLIED INDUSTRIES,4,2,3.22,124.31,2026
APL,OIL & GAS MARKETING COMPANIES,20,4,3.75,533.01,2025
ARPL,CHEMICAL,10,1,2.55,392.65,2026
ATIL,INSURANCE,6,5,8.13,73.78,2026
ATLH,AUTOMOBILE ASSEMBLER,56,7,3.14,1784.04,2026
ATRL,REFINERY,2.5,4,0.28,878.96,2025
AVN,TECHNOLOGY & COMMUNICATION,1,6,3.02,33.09,2026
BAFL,COMMERCIAL BANKS,3,6,5.13,58.44,2026
BAFS,SUGAR & ALLIED INDUSTRIES,2,2,0.72,276.62,2026
BAHL,COMMERCIAL BANKS,3.5,6,2.06,170.25,2026
BIFO,CHEMICAL,2.5,4,1.89,132.23,2026
BIPL,COMMERCIAL BANKS,1.25,4,4.96,25.2,2026
BOK,COMMERCIAL BANKS,1.7,4,5.12,33.22,2026
BOP,COMMERCIAL BANKS,1.5,4,4.41,33.99,2026
BRRG,PROPERTY,0.5,12,1.11,45,2025
BWCL,CEMENT,10,5,2.26,442.96,2026
BWHL,AUTOMOBILE PARTS & ACCESSORIES,10,3,4.46,224.06,2026
CENI,INSURANCE,6,5,11.32,53.02,2026
CHCC,CEMENT,1.5,4,0.54,278.18,2026
COLG,FOOD & PERSONAL CARE PRODUCTS,29,4,2.52,1151.91,2026
CPPL,PAPER,1,4,1.28,78.37,2026
CSAP,ENGINEERING,2,3,2.15,93.04,2026
CSIL,INSURANCE,10,6,163.4,6.12,2026
DCR,REAL ESTATE INVESTMENT TRUST,0.66,5,1.83,36.09,2026
DIIL,MISCELLANEOUS,1,6,1.4,71.48,2026
DLL,INV. BANKS / INV. COS. / SECURITIES COS.,3,6,0.5,603.59,2026
DOL,CHEMICAL,2,4,6.34,31.55,2025
DYNO,CHEMICAL,12.5,4,3.9,320.49,2025
EFERT,FERTILIZER,2,6,0.99,202.44,2026
EFUG,INSURANCE,1.5,6,1.2,124.95,2026
EFUL,INSURANCE,1.5,6,1,150,2026
EPQL,POWER GENERATION & DISTRIBUTION,1.25,4,5.05,24.77,2026
EWIC,INSURANCE,1,5,,,2026
FABL,COMMERCIAL BANKS,1.5,6,1.67,89.79,2026
FATIMA,FERTILIZER,2.5,5,1.77,141.34,2026
FCEPL,FOOD & PERSONAL CARE PRODUCTS,3.5,5,3.26,107.43,2026
FFC,FERTILIZER,8.5,6,1.53,554.63,2026
FTMM,MODARABAS,1.5,12,9.38,16,2025
GEMPAPL,PAPER,0.5,4,4.88,10.25,2026
GHGL,GLASS & CERAMICS,1,4,2.91,34.36,2025
GLAXO,PHARMACEUTICALS,12,5,3.46,346.5,2026
GVGL,GLASS & CERAMICS,1,12,1.72,58.09,2025
GWLC,CEMENT,0.5,6,1,49.86,2026
HABSM,SUGAR & ALLIED INDUSTRIES,12,2,16.44,73,2026
HALEON,PHARMACEUTICALS,15,5,1.98,756.89,2026
HBL,COMMERCIAL BANKS,6,5,2.1,285.5,2026
HCAR,AUTOMOBILE ASSEMBLER,9,7,3.22,279.16,2026
HICL,INSURANCE,1.25,5,12.38,10.1,2026
HINOON,PHARMACEUTICALS,50,5,5.15,971.42,2026
HMB,COMMERCIAL BANKS,2.5,6,2.14,116.59,2026
HPL,PHARMACEUTICALS,190,5,4.74,4009,2026
HUBC,POWER GENERATION & DISTRIBUTION,5,6,2.33,214.38,2026
HUMNL,TECHNOLOGY & COMMUNICATION,5,6,45.96,10.88,2026
ICL,CHEMICAL,1,4,0.73,137.32,2026
IGIHL,INSURANCE,5.5,5,2.33,235.9,2026
ILP,TEXTILE COMPOSITE,2,3,2.47,81.03,2026
INDU,AUTOMOBILE ASSEMBLER,51,6,2.51,2031.96,2026
INIL,ENGINEERING,2,3,1.27,157.69,2026
IREIT,REAL ESTATE INVESTMENT TRUST,0.2,4,2.48,8.08,2026
ISL,ENGINEERING,2,3,2.62,76.34,2026
ITANZ,TECHNOLOGY & COMMUNICATION,1,6,2.28,43.77,2026
JDWS,SUGAR & ALLIED INDUSTRIES,5,6,0.55,914.94,2026
JGICL,INSURANCE,6,4,8.22,73,2026
JLICL,INSURANCE,10,4,5.9,169.37,2026
JSGBETF,EXCHANGE TRADED FUNDS,5.5,4,13.99,39.31,2026
JSMFETF,EXCHANGE TRADED FUNDS,1,2,9.79,10.21,2026
KAPCO,POWER GENERATION & DISTRIBUTION,1.5,4,5.41,27.74,2026
KSBP,ENGINEERING,1,5,0.5,199.02,2026
LCI,CHEMICAL,26.25,3,11.52,227.85,2026
LOADS,AUTOMOBILE PARTS & ACCESSORIES,4.7761,2,35.67,13.39,2026
LOTCHEM,CHEMICAL,5,3,17.93,27.89,2026
LSECL,INV. BANKS / INV. COS. / SECURITIES COS.,0.682,2,12.7,5.37,2026
LSEVL,INV. BANKS / INV. COS. / SECURITIES COS.,1,12,10.71,9.34,2025
MARI,OIL & GAS EXPLORATION COMPANIES,8.3,3,1.27,654.79,2026
MCB,COMMERCIAL BANKS,9,6,2.2,409.98,2026
MCBIM,INV. BANKS / INV. COS. / SECURITIES COS.,3,3,1.78,168.98,2026
MEBL,COMMERCIAL BANKS,7.5,6,1.52,493.93,2026
MFFL,FOOD & PERSONAL CARE PRODUCTS,12.1433,4,7.69,157.99,2026
MRNS,SUGAR & ALLIED INDUSTRIES,0.5,6,0.81,61.47,2026
MTL,AUTOMOBILE ASSEMBLER,20,5,3.57,560.5,2026
MUREB,FOOD & PERSONAL CARE PRODUCTS,12,4,1.29,927.5,2026
NATF,FOOD & PERSONAL CARE PRODUCTS,8,6,2.19,364.63,2026
NBP,COMMERCIAL BANKS,35,4,18.9,185.16,2026
NCL,TEXTILE COMPOSITE,1,4,2.61,38.33,2025
NCPL,POWER GENERATION & DISTRIBUTION,1.5,6,2.36,63.52,2026
NESTLE,FOOD & PERSONAL CARE PRODUCTS,256,5,3.31,7726.48,2026
NICL,CHEMICAL,1,6,0.54,185.15,2026
NONS,SUGAR & ALLIED INDUSTRIES,4,2,4.61,86.75,2026
NPL,POWER GENERATION & DISTRIBUTION,1.5,6,2.2,68.13,2026
OGDC,OIL & GAS EXPLORATION COMPANIES,3.25,6,1.02,319.96,2026
OLPL,INV. BANKS / INV. COS. / SECURITIES COS.,2,6,4.01,49.9,2026
PAKQATAR,INSURANCE,1,5,4.33,23.12,2026
PAKRI,INSURANCE,1,5,6.29,15.91,2026
PAKT,TOBACCO,35,6,2.61,1340,2026
PKGS,PAPER,16,5,2.18,733.01,2026
PNSC,TRANSPORT,5,4,0.98,508.24,2026
POL,OIL & GAS EXPLORATION COMPANIES,27.5,4,4.1,671.28,2025
PPL,OIL & GAS EXPLORATION COMPANIES,2,6,0.88,228.18,2026
PQGTL,INSURANCE,1,5,7.25,13.8,2026
PTL,AUTOMOBILE PARTS & ACCESSORIES,2,4,3.89,51.41,2026
RICL,INSURANCE,3,5,25.68,11.68,2026
RMPL,FOOD & PERSONAL CARE PRODUCTS,94,5,0.97,9665.16,2026
SAPT,TEXTILE COMPOSITE,10,4,0.72,1384.74,2025
SASML,SUGAR & ALLIED INDUSTRIES,2,2,0.49,405,2026
SAZEW,AUTOMOBILE ASSEMBLER,20,6,0.94,2123.87,2026
SCBPL,COMMERCIAL BANKS,3,4,4.42,67.95,2026
SGF,LEATHER & TANNERIES,2,5,1.63,122.95,2026
SHDT,TEXTILE SPINNING,3.765,4,8.46,44.5,2026
SHJS,SUGAR & ALLIED INDUSTRIES,1.25,2,0.74,168.67,2026
SHNI,INSURANCE,3,5,42.43,7.07,2026
SHSML,SUGAR & ALLIED INDUSTRIES,6,2,1.61,372.74,2026
SNBL,COMMERCIAL BANKS,1.5,4,7.53,19.92,2026
SNGP,OIL & GAS MARKETING COMPANIES,3,12,3.02,99.18,2025
SPEL,PAPER,1,3,2.31,43.32,2026
SPWL,POWER GENERATION & DISTRIBUTION,0.75,5,8.01,9.36,2026
SRVI,LEATHER & TANNERIES,17.5,5,0.84,2075.33,2026
SSGC,OIL & GAS MARKETING COMPANIES,0.5,12,1.88,26.6,2025
STYLERS,APPAREL,0.5,6,1.06,46.98,2026
SYS,TECHNOLOGY & COMMUNICATION,10,6,6.72,148.86,2026
TCORP,SUGAR & ALLIED INDUSTRIES,2.3855,6,10.12,23.58,2026
TCORPCPS,SUGAR & ALLIED INDUSTRIES,2,7,15.19,13.17,2026
TGL,GLASS & CERAMICS,5,4,2.83,176.56,2025
THALL,AUTOMOBILE PARTS & ACCESSORIES,30,3,4.84,619.23,2026
TICL,SUGAR & ALLIED INDUSTRIES,10,2,0.98,1022.24,2026
TSBL,INV. BANKS / INV. COS. / SECURITIES COS.,15,3,837.99,1.79,2026
UBL,COMMERCIAL BANKS,16,5,3.96,404.47,2026
UDPL,MISCELLANEOUS,1.25,6,1.13,111,2026
UNIC,INSURANCE,2,5,16.31,12.26,2026
UPFL,FOOD & PERSONAL CARE PRODUCTS,331,6,1.28,25862.03,2026
WAFI,OIL & GAS MARKETING COMPANIES,4,5,2.02,198.49,2026
ZIL,FOOD & PERSONAL CARE PRODUCTS,2.5,5,0.76,327.62,2026
