Company,CompanyName,BookClosureEnd,Payment_month
BOK,The Bank of Khyber,2026-03-30,4
PTL,Panther Tyres Ltd.,2026-03-13,4
EFUG,EFU General Insurance Limited,2026-03-30,4
HALEON,Haleon Pakistan Limited,2026-04-28,5
SHDT,Shadab Textile Mills Limited,2026-03-10,4
STYLERS,Stylers International Limited,2026-03-12,4
KAPCO,Kot Addu Power Company Limited,2026-03-16,4
GEMPAPL,Pak Agro Packaging Limited(GEM),2026-03-12,4
WAFI,Wafi Energy Pakistan Limited,2026-04-29,5
EFUL,EFU Life Assurance Limited,2026-03-30,4
JGICL,Jubilee General Insurance Limited,2026-03-31,4
IREIT,Image Reit,2026-03-09,4
ATIL,Atlas Insurance Limited,2026-04-20,5
BWCL,Bestway Cement Limited,2025-03-11,4
UDPL,United Distributors Pakistan Limited,2025-03-11,4
SCBPL,Standard Chartered Bank (Pak) Ltd,2026-03-27,4
NCL,Nishat Chunian Limited,2025-03-11,4
NATF,National Foods Limited,2025-03-13,4
GHGL,Ghani Glass Limited,2025-03-13,4
DYNO,Dynea Pakistan Limited,2025-03-11,4
DOL,Descon Oxychem Limited,2025-03-12,4
UBL,United Bank Limited,2026-03-26,4
NBP,National Bank of Pakistan,2026-03-30,4
TGL,Tariq Glass Industries Limited,2025-03-09,4
