Company,Price,PreviousPrice,Change,ChangePct,Date
GUSM,9.02,8.03,0.99,12.33,2026-06-08
FFLM,8.67,7.76,0.91,11.73,2026-06-08
TPLP,10.28,9.33,0.95,10.18,2026-06-08
PPVC,19.53,17.75,1.78,10.03,2026-06-08
DSIL,12.31,11.19,1.12,10.01,2026-06-08
OBOY,16.82,15.29,1.53,10.01,2026-06-08
QTECH,33.95,30.86,3.09,10.01,2026-06-08
NAGC,77.94,70.85,7.09,10.01,2026-06-08
STML,41.99,38.17,3.82,10.01,2026-06-08
PQGTL,18.37,16.7,1.67,10.0,2026-06-08
TPLP-JUN,10.34,9.4,0.94,10.0,2026-06-08
SGPL,50.27,45.7,4.57,10.0,2026-06-08
ZUMA,87.87,79.88,7.99,10.0,2026-06-08
KOHTM,109.78,99.8,9.98,10.0,2026-06-08
SERT,37.85,34.41,3.44,10.0,2026-06-08
ZAHID,66.88,60.8,6.08,10.0,2026-06-08
LEUL,35.21,32.01,3.2,10.0,2026-06-08
GOC,118.13,107.39,10.74,10.0,2026-06-08
RUBY,18.49,20.54,-2.05,-9.98,2026-06-08
KSTM,12.02,10.93,1.09,9.97,2026-06-08
IDSM,77.27,85.82,-8.55,-9.96,2026-06-08
CJPL,14.71,13.39,1.32,9.86,2026-06-08
JVDCPS,68.4,75.67,-7.27,-9.61,2026-06-08
UVIC,25.85,23.62,2.23,9.44,2026-06-08
PSEL,939.54,858.6,80.94,9.43,2026-06-08
POWERPS,25.46,28.03,-2.57,-9.17,2026-06-08
TSMF,17.4,19.12,-1.72,-9.0,2026-06-08
TPLL,19.6,21.43,-1.83,-8.54,2026-06-08
JSGCL,168.1,155.0,13.1,8.45,2026-06-08
FCIBL,37.15,40.49,-3.34,-8.25,2026-06-08
ASLPS,29.48,32.0,-2.52,-7.87,2026-06-08
FIL,165.96,180.06,-14.1,-7.83,2026-06-08
GFIL,32.28,29.96,2.32,7.74,2026-06-08
JVDC-JUN,147.71,137.17,10.54,7.68,2026-06-08
WASL,5.49,5.93,-0.44,-7.42,2026-06-08
MWMP,70.81,65.92,4.89,7.42,2026-06-08
DFML,19.19,20.71,-1.52,-7.34,2026-06-08
SZTM,61.92,66.8,-4.88,-7.31,2026-06-08
DEL,18.0,19.41,-1.41,-7.26,2026-06-08
JVDC,146.62,136.8,9.82,7.18,2026-06-08
IGIL,19.51,21.0,-1.49,-7.1,2026-06-08
UDLI,18.47,19.86,-1.39,-7.0,2026-06-08
NEXT,12.04,12.94,-0.9,-6.96,2026-06-08
STJT,143.45,134.28,9.17,6.83,2026-06-08
SIBL,7.2,7.72,-0.52,-6.74,2026-06-08
TPL,13.02,12.2,0.82,6.72,2026-06-08
GRYL,23.46,25.14,-1.68,-6.68,2026-06-08
TPL-JUN,13.09,12.3,0.79,6.42,2026-06-08
SML,129.85,122.1,7.75,6.35,2026-06-08
DWAE,27.11,28.8,-1.69,-5.87,2026-06-08
QUICE,38.04,35.95,2.09,5.81,2026-06-08
PAKD,138.78,147.05,-8.27,-5.62,2026-06-08
JSIL,42.26,40.01,2.25,5.62,2026-06-08
BML-JUN,61.67,58.42,3.25,5.56,2026-06-08
ESBL,13.07,13.84,-0.77,-5.56,2026-06-08
FDPL-JUN,5.39,5.11,0.28,5.48,2026-06-08
TSPL,15.02,15.88,-0.86,-5.42,2026-06-08
BML,61.03,57.9,3.13,5.41,2026-06-08
FDPL,5.29,5.02,0.27,5.38,2026-06-08
TICL,934.81,987.96,-53.15,-5.38,2026-06-08
AGSML,9.59,10.13,-0.54,-5.33,2026-06-08
DIIL,64.07,67.65,-3.58,-5.29,2026-06-08
UCAPM,5.25,5.54,-0.29,-5.23,2026-06-08
FTSM,20.99,22.14,-1.15,-5.19,2026-06-08
SARC,70.25,73.91,-3.66,-4.95,2026-06-08
BELA,58.6,55.85,2.75,4.92,2026-06-08
KML,8.81,8.4,0.41,4.88,2026-06-08
THCCL,69.34,66.14,3.2,4.84,2026-06-08
786,26.34,27.68,-1.34,-4.84,2026-06-08
TCORPCPS,11.91,11.36,0.55,4.84,2026-06-08
TPLT,22.17,21.15,1.02,4.82,2026-06-08
GATM,24.42,23.32,1.1,4.72,2026-06-08
THCCL-JUN,69.85,66.72,3.13,4.69,2026-06-08
PRWM,61.02,63.94,-2.92,-4.57,2026-06-08
PGLC,14.47,15.16,-0.69,-4.55,2026-06-08
PASL,2.74,2.87,-0.13,-4.53,2026-06-08
CLCPS,3.97,3.8,0.17,4.47,2026-06-08
IMAGE-JUN,26.1,24.99,1.11,4.44,2026-06-08
BPL,51.69,54.09,-2.4,-4.44,2026-06-08
BTL,1076.09,1125.81,-49.72,-4.42,2026-06-08
GATM-JUN,24.53,23.52,1.01,4.29,2026-06-08
