date,symbol,ldcp,open,high,low,close,change,change_pct,volume
2026-03-26,KEL,7.80,7.75,7.79,6.90,7.06,-0.74,-9.49%,"96,740,260"
2026-03-26,KEL-APR,7.86,7.85,7.85,7.00,7.13,-0.73,-9.29%,"35,652,500"
2026-03-26,KEL-MAR,7.81,7.51,7.84,6.99,7.06,-0.75,-9.60%,"35,548,500"
2026-03-26,FNEL,1.23,1.23,1.24,1.17,1.18,-0.05,-4.07%,"33,024,724"
2026-03-26,UNITY,8.57,8.55,8.65,8.21,8.26,-0.31,-3.62%,"25,118,960"
2026-03-26,WTL,1.26,1.27,1.27,1.18,1.19,-0.07,-5.56%,"23,208,086"
2026-03-26,BOP,26.64,26.60,26.60,25.60,25.70,-0.94,-3.53%,"17,078,881"
2026-03-26,FCCL,41.98,41.10,41.69,40.30,40.55,-1.43,-3.41%,"16,085,730"
2026-03-26,CNERGY,7.08,7.02,7.05,6.79,6.82,-0.26,-3.67%,"15,293,118"
2026-03-26,PIBTL,15.45,15.45,15.47,14.45,14.56,-0.89,-5.76%,"13,523,948"
2026-03-26,THCCL-MAR,52.65,52.05,53.49,52.00,52.89,0.24,0.46%,"12,150,000"
2026-03-26,NCPL,64.65,63.75,63.75,60.56,60.78,-3.87,-5.99%,"11,768,000"
2026-03-26,CNERGY-MAR,7.09,7.00,7.05,6.78,6.81,-0.28,-3.95%,"11,508,000"
2026-03-26,THCCL-APR,53.05,52.50,53.95,52.00,53.14,0.09,0.17%,"10,998,000"
2026-03-26,TRG-MAR,48.29,47.80,47.90,46.00,46.67,-1.62,-3.35%,"10,472,000"
2026-03-26,CNERGY-APR,7.16,7.15,7.15,6.84,6.87,-0.29,-4.05%,"10,352,500"
2026-03-26,NPL,71.00,69.02,69.98,66.50,66.91,-4.09,-5.76%,"9,078,513"
2026-03-26,BOP-APRB,26.72,26.98,26.98,25.78,25.88,-0.84,-3.14%,"7,863,500"
2026-03-26,TRG-APR,48.62,47.95,48.40,46.33,46.73,-1.89,-3.89%,"7,677,500"
