Company,Date,Price,Open,High,Low,Volume
HBL,2026-03-05,269.57,268,272,265,1500000
HBL,2026-03-06,281.53,269,284.99,268.01,1989509
MCB,2026-03-05,368.63,365,372,364,300000
MCB,2026-03-06,373.87,369,379,369,371255
UBL,2026-03-06,416.07,416,421.89,413.15,1102310
OGDC,2026-03-04,263.56,260,268,258,6000000
OGDC,2026-03-05,268,265,272,264,7000000
OGDC,2026-03-06,285.28,266,288.55,266,8152076
PPL,2026-03-05,204.21,202,208,201,12000000
PPL,2026-03-06,218.4,205.07,222,205,14694443
PSO,2026-03-06,393.46,367,401,365.5,4376749
MARI,2026-03-06,617.65,592.02,620,592.02,1768794
POL,2026-03-06,647.5,642,655,642,4500
FFC,2026-03-06,540.36,525,545,525,2591944
EFERT,2026-03-06,216.28,211,218,210,1525320
LUCK,2026-03-06,398.83,392.95,400.5,390,3782703
DGKC,2026-03-06,189.9,184.7,190.8,183.5,2908548
HUBC,2026-03-06,218.89,206,220,205.11,7989535
KEL,2026-03-06,8.05,7.5,8.28,7.47,115631474
NESTLE,2026-03-06,7830.4,7771.01,7994.95,7771.01,83
UNITY,2026-03-06,10.08,9.53,10.35,9.53,48307983
TRG,2026-03-06,46.73,43.25,47.09,42.72,2151500
SYS,2026-03-06,124.61,121.08,125,120,379000
ENGRO,2026-03-06,266.54,253.5,270,253.25,3012192
NCPL,2026-03-06,68.66,65.2,69.3,64.75,8597000
